Inventory ID,Description,Item Group
TAG 45 28,BAG-1 (AG 45%) 1/8 X 50 TO COIL,
TAG 45 28,BAG-1 (AG 45%) 1/8 X 50 TO COIL,
TAG 45-06/1,BAG-1 (AG 45%) 1/32 X 1 TO COIL CLAMSHELL PACK,
TAG 45-06/1,BAG-1 (AG 45%) 1/32 X 1 TO COIL CLAMSHELL PACK,
TAG 45-06/5,BAG-1 (AG 45%) 1/32 X 5 TO COIL CLAMSHELL PACK,
TAG 45-17/5,BAG-1 (AG 45%) .040 X 5 TO COIL CLAMSHELL PACK,
TAG 45-24/1,BAG-1 (AG 45%) 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 45-24/1,BAG-1 (AG 45%) 1/16 X 1 TO COIL CLAMSHELL PACK,
TAG 45-24/3,BAG-1 (AG 45%) 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 45-24/3,BAG-1 (AG 45%) 1/16 X 3 TO COIL CLAMSHELL PACK,
TAG 45-24/5,BAG-1 (AG 45%) 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 45-24/5,BAG-1 (AG 45%) 1/16 X 5 TO COIL CLAMSHELL PACK,
TAG 45-27/1,BAG-1 (AG 45%) 3/32 X 1 TO COIL CLAMSHELL PACK,
TAG 45CAD 04F/25,"BAG-1 FLUX COATED 1/16 X 20"" 1/4 LB",
TAG 45CAD 04F/25,"BAG-1 FLUX COATED 1/16 X 20"" 1/4 LB",
TAG 45CF 01,"BAG-5 CAD-FREE .030 X 36""",
TAG 45CF 03,"BAG-5 CAD-FREE 3/64 X 36""",
TAG 45CF 04,"BAG-5 CAD-FREE 1/16 X 36""",
TAG 45CF 04,"BAG-5 CAD-FREE 1/16 X 36""",
TAG 45CF 04,"BAG-5 CAD-FREE 1/16 X 36""",
TAG 45CF 04/2,"BAG-5 CAD-FREE 1/16 X 20""",
TAG 45CF 04/2,"BAG-5 CAD-FREE 1/16 X 20""",
TAG 45CF 04/2,"BAG-5 CAD-FREE 1/16 X 20""",
TAG 45CF 04/25,BAG-5 CAD-FREE 1/16 X 25,
TAG 45CF 04/25,BAG-5 CAD-FREE 1/16 X 25,
TAG 45CF 04/25,BAG-5 CAD-FREE 1/16 X 25,
TAG 45CF 045,"BAG-5 CAD-FREE 5/64 X 18""",
TAG 45CF 04F,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED",
TAG 45CF 04F,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED",
TAG 45CF 04F,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED",
TAG 45CF 04F,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED",
TAG 45CF 04F/25,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED (8 STICKS)",
TAG 45CF 04F/25,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED (8 STICKS)",
TAG 45CF 04F/25,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED (8 STICKS)",
TAG 45CF 04F/25,"BAG-5 CAD-FREE 1/16 X 20"" FLUX COATED (8 STICKS)",
TAG 45CF 05,"BAG-5 CAD-FREE 3/32 X 36""",
TAG 45CF 05/20,"BAG-5 CAD-FREE 3/32 X 20""",
TAG 45CF 05/20,"BAG-5 CAD-FREE 3/32 X 20""",
TAG 45CF 05/20,"BAG-5 CAD-FREE 3/32 X 20""",
TAG 45CF 05/20,"BAG-5 CAD-FREE 3/32 X 20""",
TAG 45CF 05F,"BAG-5 CAD-FREE 3/32 X 20"" FLUX COATED",
TAG 45CF 05F,"BAG-5 CAD-FREE 3/32 X 20"" FLUX COATED",
TAG 45CF 05F,"BAG-5 CAD-FREE 3/32 X 20"" FLUX COATED",
TAG 45CF 05F/25,"BAG-5 CAD-FREE 3/32 X 20"" FLUX COATED (3 STICKS)",
TAG 45CF 05F/25,"BAG-5 CAD-FREE 3/32 X 20"" FLUX COATED (3 STICKS)",
TAG 45CF 06,"BAG-5 CAD-FREE 1/8 X 36""",
TAG 45CF 06,"BAG-5 CAD-FREE 1/8 X 36""",
TAG 45CF 0618,"BAG-5 CAD-FREE 1/8 X 20""",
TAG 45CF 06C,BAG-5 CAD-FREE .030 X 50 TO COIL,
TAG 45CF 06F,"BAG-5 CAD-FREE 1/8 X 20"" FLUX COATED",
TAG 45CF 06F,"BAG-5 CAD-FREE 1/8 X 20"" FLUX COATED",
TAG 45CF 06F,"BAG-5 CAD-FREE 1/8 X 20"" FLUX COATED",
TAG 45CF 06F/25,"BAG-5 CAD-FREE 1/8 X 20"" FLUX COATED (3 STICKS)",
TAG 45CF 06F/25,"BAG-5 CAD-FREE 1/8 X 20"" FLUX COATED (3 STICKS)",
TAG 45CF 236,BAG-5 CAD-FREE 3/64 X 50 TO COIL,
TAG 45CF 25,BAG-5 CAD-FREE 1/16 X 50 TO COIL,
TAG 45CF 25,BAG-5 CAD-FREE 1/16 X 50 TO COIL,
TAG 45CF 25,BAG-5 CAD-FREE 1/16 X 50 TO COIL,
